Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d027445	M2	-0.123041458	-0.735108917	-0.549983596	-0.466681388	-0.72031309	-1.096223123	-0.95073708	0.557522234	1.880786325	1.209671152	0.994108942
Zm00001d027446	M6	0.576065712	0.60463172	1.620891608	0.655487011	1.174336145	-1.14847885	-0.957165648	-0.999729932	-1.263493786	-0.154071862	-0.108472118
Zm00001d027450	M1	-0.572578227	0.946190889	1.602324605	0.309841341	0.628172417	-2.178805954	-0.75409392	0.120399915	-0.410208212	-0.139343373	0.44810052
Zm00001d027455	M1	-0.806809847	0.476270739	0.494974553	0.109705917	-0.58851647	-1.98953274	-0.298625245	-0.675411434	0.939406523	1.61557296	0.722965043
Zm00001d027456	M12	0.025207499	-0.970501492	-1.288650114	-1.259483435	-1.088737379	0.659301091	0.872990686	0.91207233	-0.057032101	0.793558195	1.401274721
Zm00001d027458	M1	2.396519595	-0.195074115	-0.772112827	-0.818104688	-0.788344385	1.280267535	-0.246478546	-0.252265811	-0.605441795	-0.317023484	0.318058521
Zm00001d027460	M6	-0.159019225	1.881570151	0.699166752	1.228231382	0.773760988	-0.70643307	-1.135273272	-0.740066021	-0.133280837	-0.742066634	-0.966590213
Zm00001d027461	M14	-1.52037041	-0.688366106	0.484508728	0.653123557	-0.048034332	-1.493527353	-0.667049393	1.099191132	1.256291	-0.113135088	1.037368266
Zm00001d027462	M1	1.012641561	0.039421461	-0.941903575	-0.865329	-1.266494675	1.894306851	-0.915384951	-0.479778013	0.848893181	0.082848791	0.590778369
Zm00001d027468	M14	-0.994622583	0.620191638	0.854357775	0.907932764	1.059236379	-1.314039253	-1.918163927	0.189384518	0.64965651	0.178472759	-0.232406581
Zm00001d027469	M14	0.903395068	0.860079809	-0.037628214	-0.180576094	0.416892095	1.406335382	0.828379596	-0.507324746	-0.543638724	-1.384521367	-1.761392804
Zm00001d027471	M6	-0.470019317	-0.584386911	-1.033942838	-1.445979297	-0.953643927	0.721917483	0.011827854	1.645045283	0.122935002	1.269767022	0.716479645
Zm00001d027477	M9	0.297277469	-1.352407187	-0.914665466	-0.622804917	-0.752000852	1.453382229	-0.976973512	0.906398493	1.42543851	0.606221958	-0.069866726
Zm00001d027478	M6	0.190893727	-1.12122405	-0.976443799	-1.19514806	-0.908324692	0.183899297	-0.614917703	0.827427179	1.023072799	1.306613089	1.284152213
Zm00001d027479	M6	-0.290661151	1.332395044	1.537644185	1.132230481	0.808731519	-1.061211414	-1.171169663	-0.490981328	-0.476625867	-0.627085155	-0.693266653
Zm00001d027480	M6	-1.379344463	1.365257904	1.462224311	0.701670365	0.866053394	-1.034689541	-0.907207672	-0.299164576	0.123726855	-0.924078517	0.025551939
Zm00001d027483	M1	2.918161397	-0.694037118	0.021036346	-0.447387845	-0.3399335	-0.374946757	0.020617231	-0.694037118	-0.146463111	-0.19378331	-0.069226214
Zm00001d027484	M6	-1.573769572	1.072999329	1.04258603	1.014821072	1.11893667	-1.404177556	-0.683369308	-0.027883919	0.352075948	-0.34761883	-0.564599865
Zm00001d027485	M6	-0.129644622	1.623116533	-0.022600066	1.815127642	0.297107109	-0.061689633	-1.729006358	-0.525915224	-0.40934567	-0.145342508	-0.711807203
Zm00001d027487	M6	-1.042008004	0.717261866	1.347569157	1.403792103	1.107731749	-1.244736474	-1.153047122	-0.423855854	-0.501896279	0.058071219	-0.268882362
Zm00001d027488	M12	-0.03462794	-1.273371585	-1.252501033	-0.840051552	-0.902763188	0.408638725	1.189504319	0.785477115	-0.347978983	0.688440536	1.579233585
Zm00001d027492	M6	1.622555042	-0.183990811	-0.889494821	-1.204357684	-1.20954519	0.247252924	1.819240616	0.225633867	0.15368677	-0.376264754	-0.204715959
Zm00001d027493	M1	1.415725279	-0.847939188	-0.835570152	-0.681535492	-0.857752667	2.231750155	0.105436601	0.163169417	-0.57643689	0.043452197	-0.16029926
Zm00001d027500	M1	-0.202595031	-0.2335358	-0.796071514	-0.879962387	-0.801682861	2.660697929	0.667594109	-0.285332522	-0.307320302	0.35075503	-0.17254665
Zm00001d027502	M6	-1.424216253	0.629988647	1.222935958	1.351544529	0.931856998	-1.231473188	-1.297928173	-0.073107467	0.289180989	-0.114266779	-0.284515261
Zm00001d027503	M6	-0.330804199	1.007771579	1.042743057	1.926851653	0.653729023	-1.105008702	-0.653005304	-0.782667567	-0.229683084	-1.051679581	-0.478246876
Zm00001d027504	M12	-0.311564745	-0.941896821	-0.984984596	-1.022138533	-0.949159622	0.136157632	0.49269749	2.175989826	0.458721169	0.001062183	0.945116018
Zm00001d027505	M6	0.496950567	0.70726288	1.452233264	0.535617054	1.097840318	0.037472715	-0.984077195	-0.388305104	-1.484895934	0.054125949	-1.524224514
Zm00001d027508	M6	1.842479165	-0.483327052	-1.278173546	-0.705857393	-1.22681616	1.531994917	0.434077496	-0.015515803	-0.294490362	-0.117932022	0.31356076
Zm00001d027511	M8	-1.050065858	-1.004185094	-0.689979381	-0.350420682	0.106440864	-0.063694264	2.53305565	0.765877466	-0.205114282	0.317296892	-0.35921131
Zm00001d027512	M8	1.356806859	-0.639017517	-0.066361383	-0.012359176	-1.023864863	0.267304317	-1.936674697	0.361878464	1.334034918	0.850296273	-0.492043194
Zm00001d027514	M1	-1.585052613	0.560867189	0.991094361	-0.149611359	0.359056511	-1.07231099	1.511750702	-0.161490908	-1.320168793	-0.046876991	0.912742892
Zm00001d027515	M6	-0.647926688	1.290187996	1.216763091	1.497482534	0.85798189	-0.824887848	-1.122478783	-0.354082183	-0.571441702	-0.384228691	-0.957369615
Zm00001d027516	M2	1.331693056	0.670877298	0.346350658	0.661966434	0.930766217	0.329921821	0.567191748	-1.08733984	-1.417697024	-1.222348418	-1.111381952
Zm00001d027517	M1	-1.909612523	-0.363658041	1.262577229	1.134170603	0.633181981	-1.350083612	-0.629096583	0.451877847	0.011122025	0.041731312	0.717789763
Zm00001d027518	M6	0.40904247	-1.393317871	-0.8456956	-0.836021634	-0.933615827	0.494860699	-0.626609708	0.673620724	0.097360984	1.232302197	1.728073567
Zm00001d027519	M2	-1.454790322	-0.439636686	-0.470641176	-0.757800741	-0.544878293	-0.550990236	1.826385056	-0.186927028	1.426566072	0.910996891	0.241716464
Zm00001d027523	M14	1.001775206	0.285255623	-0.360651491	0.043024066	-0.333850875	0.03326891	2.322174519	-0.059635465	-1.370629046	-0.482057426	-1.078674022
Zm00001d027524	M8	-0.531106339	0.487804747	-0.775576915	-0.66061229	-0.023907348	-0.6086804	2.643210112	-0.560926423	-0.628284798	0.610559538	0.047520117
Zm00001d027525	M8	-1.389844611	1.253804529	-0.64402987	-0.890537451	0.076117802	0.197803642	1.269292266	-0.320090874	-1.197844101	1.431601853	0.213726815
Zm00001d027527	M6	-1.123913185	0.711222392	1.342950822	1.433919968	1.070121806	-1.036929344	-1.313762893	-0.240247619	-0.069654506	-0.209230355	-0.564477086
Zm00001d027532	M1	2.376688513	-0.958210772	-0.842624745	-0.857185976	-0.910039397	0.176399683	0.616361558	-0.193371397	-0.431448187	0.480376956	0.543053765
Zm00001d027533	M2	-1.069846505	-0.770072582	-0.911646472	-0.699330552	-0.68710601	-0.793660551	0.448878777	1.474397355	1.533394981	0.623912134	0.851079425
Zm00001d027535	M8	0.409645004	-0.766498053	-1.120334758	-1.026466748	-0.517613586	-0.295708591	1.574453385	-0.238494586	-0.677512301	1.490235304	1.168294931
Zm00001d027536	M6	-0.993065874	0.246933149	1.129757117	1.628803823	1.657720738	-0.678003663	-0.633719549	-0.658492421	-0.665631956	-0.553177429	-0.481123934
Zm00001d027539	M9	-0.884172017	-0.614778025	-0.952772173	-1.057140536	0.036145542	1.609099989	-0.610132974	0.561646581	1.559095487	-0.54587478	0.898882907
Zm00001d027540	M9	-1.094138068	0.059800742	-0.755608772	-1.105330491	0.308862772	0.953385515	-0.669137294	0.163438914	2.17313517	-0.651507035	0.617098546
Zm00001d027542	M2	0.657638904	0.076006785	0.839159881	1.310764769	1.250033957	0.528953017	-1.172128428	-0.089298748	-1.309336321	-1.126651674	-0.965142142
Zm00001d027544	M14	-1.480134436	-0.61806535	0.39599998	0.365742398	0.068154411	-1.411570297	-1.084458424	0.459012366	0.932936571	1.001495745	1.370887036
Zm00001d027548	M1	1.795649181	-1.044617145	-1.131292231	-0.603100308	-0.22427476	1.783203316	-0.287449552	0.137357859	0.389753237	-0.072165804	-0.743063793
Zm00001d027550	M1	2.880451853	-0.230824787	-0.353126339	0.254304634	-0.040791615	-0.164711537	-0.427795087	-0.74924554	-0.046486952	-0.393814845	-0.727959786
Zm00001d027556	M14	-0.428680748	0.543402654	-0.621044692	0.770163002	0.006212953	-0.975712874	-1.70058344	0.450547511	1.804125472	0.85959374	-0.708023577
Zm00001d027558	M14	-1.714230356	-0.081503448	0.944344745	0.464584338	0.688427146	-1.796559534	-0.881784352	0.607657029	0.759845017	0.426601046	0.582618369
