Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d040603	M2	36.94927126	47.86966225	56.68574998	57.52467891	54.45803856	32.39416078	48.30682991	64.28194495	68.16185216	59.20058583	71.88353709
Zm00001d040606	M6	34.93294419	11.32109029	13.2705583	11.92552468	13.1952572	39.43879119	15.17573036	25.66712579	24.66247814	26.17521484	21.65145462
Zm00001d040612	M6	3.138542427	5.134609287	4.983225915	4.30512312	4.531422571	3.114074694	3.189387541	3.592989148	3.824440722	3.473692902	3.58278038
Zm00001d040613	M8	144.0431202	26.83973824	23.0012677	36.67102804	37.0035851	300.7200429	705.3666438	155.5591257	361.4941789	178.7444553	2.51466727
Zm00001d040617	M1	629.3741354	488.7060692	574.5379287	579.1765385	502.0612391	594.2465258	444.4803427	621.9134904	595.7151572	582.1055963	515.626587
Zm00001d040621	M12	10.98604327	4.413635275	6.883172632	7.564072543	9.156717571	15.8402015	15.20486635	28.77303527	23.41549796	15.55527263	20.51850323
Zm00001d040622	M2	12.83745758	16.00447087	14.80211007	12.70580068	10.4470089	13.08816567	12.78715169	11.1612615	11.2281	13.26030403	12.39421511
Zm00001d040625	M6	4.240761758	5.986769163	7.15852789	7.131052896	7.652323954	3.542480504	3.655170689	4.713819157	4.798459349	5.894465282	6.481586469
Zm00001d040628	M12	4.390765033	5.102395091	5.513096495	3.666556363	4.248286361	3.955830517	6.575532729	3.018499632	3.214874744	2.354073877	3.433596417
Zm00001d040629	M8	4.877800918	7.137709537	6.569364771	7.036577712	6.406614262	5.64127674	9.522957858	5.084166491	6.671313312	4.911509371	4.594056478
Zm00001d040634	M8	2.036333668	3.147196271	2.334924552	3.10992637	3.426316416	3.653463071	6.857645696	4.774813022	2.291628789	2.511245436	5.337021909
Zm00001d040641	M12	8.364014753	10.60542268	10.19102078	11.00225543	11.85044974	6.849943384	5.97430552	6.681874581	7.032861825	6.721150513	4.732250326
Zm00001d040650	M12	30.44378239	36.70893235	29.99823187	32.57608416	33.36024799	47.45746339	50.82998449	97.87515079	76.1938777	66.1804163	80.05166081
Zm00001d040651	M6	3.433576818	1.84716703	1.504564606	1.397363038	1.39961259	7.905800392	4.467299229	6.490756441	8.10265278	4.870791302	7.097304563
Zm00001d040665	M8	6.568355099	6.69851457	8.830055681	8.77768019	7.672985514	6.01276889	73.49014266	7.31399946	6.587571499	8.495915884	8.250813516
Zm00001d040666	M1	83.70928836	18.71072303	17.85754037	27.11281603	29.05911626	193.0479301	74.28636157	82.20109889	66.38687726	34.02799418	30.6351715
Zm00001d040667	M8	15.52134643	19.86192482	14.15883835	14.17435855	14.98425901	14.18686658	19.89777911	15.99791044	16.49844238	14.71237418	15.97591563
Zm00001d040670	M8	10.56219205	16.51992979	13.17369521	13.85793442	14.83077238	6.621514192	25.17332648	12.85817001	15.30800071	18.29476542	18.37138614
Zm00001d040672	M1	5.179830362	10.35040258	12.28115883	12.99159119	10.39000795	6.724562089	16.68492639	9.875931045	10.1190437	10.14382711	12.20619136
Zm00001d040678	M14	4.799981025	3.946527919	4.500087484	4.066288553	4.322777634	4.353749693	5.297786547	3.037987511	4.469594331	3.506282229	3.601412679
Zm00001d040684	M8	3.644151005	3.726771382	4.540050948	3.670032794	3.889316998	2.828834872	8.316116596	4.874059756	3.716286935	6.640265609	5.670516165
Zm00001d040689	M6	23.82702578	30.9869785	33.15050159	31.39576803	31.70668205	19.40396684	23.84465143	22.34306303	23.81644446	23.86495243	19.8074455
Zm00001d040691	M6	7.470496452	10.28296462	9.850125526	9.548878658	9.956062866	7.950233203	8.359907423	8.811706446	8.354477317	8.835112858	8.111538115
Zm00001d000536	M1	888.1255319	188.7183241	235.5209383	198.6787725	168.5339758	509.9587488	370.3993037	365.129937	290.5894188	455.2222989	431.538773
Zm00001d040693	M12	23.76380434	21.4418019	24.04371061	19.92318466	24.88082507	22.62755778	14.74444607	13.42628439	12.49377325	12.514479	5.334375265
Zm00001d040696	M1	6.326342058	6.884825222	7.405962187	7.115784643	8.788446156	5.133622245	6.079989601	6.151477451	6.910852896	7.727153322	7.077311807
Zm00001d040697	M1	34.87750024	118.8899852	112.0660048	122.398941	107.5399921	49.34539908	97.71559496	107.425184	96.78394879	114.9372263	98.72441276
Zm00001d040702	M4	12.62800615	7.123021783	8.220442944	9.758862988	21.94935839	17.0671568	11.57795852	13.39047057	18.60889811	15.50420744	15.63364855
Zm00001d040705	M12	0.348551656	0.243699793	1.099057973	1.172188533	1.163359104	2.232844554	1.362367577	5.920081522	8.868825529	4.277497343	4.727176335
Zm00001d040710	M1	18.5096502	11.64669874	7.656394634	10.07063284	12.91142398	64.7894109	19.65168261	7.469942058	9.505361674	4.99611201	3.501526182
Zm00001d040717	M1	39.96032667	21.92559815	18.95797737	19.8987926	16.51691729	46.52314591	29.0855626	25.15281947	19.48346226	21.92948096	26.68877235
Zm00001d040721	M14	68.18841877	83.99405252	94.60055227	89.7080552	85.9600195	61.79955977	78.33515643	104.019207	112.5801047	91.22434072	102.3232978
Zm00001d040724	M6	13.30075378	17.28350239	16.12535409	15.11932852	13.95567816	10.78400866	15.39008655	14.1270583	13.18963298	13.31614089	11.27257329
Zm00001d040725	M8	19.84000876	13.63299843	9.91303134	8.193297365	9.780668809	23.13784345	47.16963834	22.65571662	19.47614428	17.45071724	20.3776845
Zm00001d040731	M1	59.17397199	94.58753893	87.65869168	91.2543381	84.94584427	66.67853657	78.86619832	97.96610705	95.09724368	96.5702471	95.2954739
Zm00001d040733	M12	1.832615908	2.745418556	4.002727029	4.879628072	3.430619754	4.404266447	4.830348447	12.29376113	10.59825891	10.00112879	12.07789317
Zm00001d040734	M14	16.26417042	14.7860185	13.82714381	13.78648559	16.57530955	16.61401904	15.67519316	14.51742979	17.32724227	14.23430503	13.70200456
Zm00001d040735	M6	3.143204717	5.105633187	4.974141426	5.171366931	7.283421362	3.874242389	2.750973624	3.333282653	4.39676095	2.769618971	2.37099442
Zm00001d040741	M9	23.29683115	22.38989519	16.09171596	16.29874137	17.1976432	11.85595451	20.71321215	10.1246268	8.3327455	18.106581	18.69069978
Zm00001d040748	M6	7.987042606	13.96895394	13.49382	12.91567213	12.34524662	6.406414239	8.274780221	8.807427105	9.677613054	8.966047744	7.217913924
Zm00001d040752	M8	92.32334173	87.98389851	78.88579432	86.31483453	86.10936867	89.65993531	66.25907238	100.2827104	84.02489149	73.88553095	63.51710297
Zm00001d040757	M6	24.10973715	29.88564079	25.54855022	27.50061314	23.71337881	23.31142973	21.94737963	20.69049013	20.57175655	22.03187377	18.60337921
Zm00001d040759	M1	11.825647	5.004494634	5.788853195	7.392223008	3.246631241	12.30123053	5.242625149	10.25295366	2.633908	8.663035063	7.142683029
Zm00001d040760	M6	3.950150591	5.204626628	4.834753977	4.720797171	5.783402774	3.403199898	4.036510563	4.230885779	4.439323028	4.365552381	3.630101076
Zm00001d040766	M2	34.80642197	66.98736738	68.55900751	64.98366836	64.62973888	39.10906237	65.54261089	74.99420845	88.4252955	64.29066446	63.96274926
Zm00001d040768	M6	48.49150326	49.94359162	55.83154148	48.34740867	47.22995029	41.10218688	30.16973764	40.49200594	43.29242852	43.8077441	37.36020911
Zm00001d040775	M8	0.68177418	2.06848269	1.492598419	1.470039432	1.671526834	0.783903862	6.418955263	2.554462154	2.033663612	1.865851498	4.152752566
Zm00001d040789	M1	12.30188911	14.5138575	13.48877241	14.94338552	16.19622178	15.95001674	15.66055242	16.08555606	14.46578002	14.21544303	15.56098639
Zm00001d040796	M6	3.648188421	5.499385123	5.723881105	4.80940446	4.425836644	3.200303601	3.273789205	4.318734213	3.969785477	4.183960934	4.083467468
Zm00001d040803	M1	49.92244375	11.68379881	11.82014482	14.87079534	18.31279023	38.00408291	25.50614716	30.24466251	24.78336464	27.26799643	20.77530975
Zm00001d040804	M14	7.288570141	6.730111767	10.51235224	10.97864071	9.083071428	6.450419616	7.229613891	10.70618432	10.31832461	10.37644958	15.23625201
Zm00001d040807	M8	1.803070161	6.255333281	2.772336116	1.643994217	4.326701694	3.115617782	65.15526398	10.45547776	12.35765827	24.23537362	33.30368122
Zm00001d040827	M14	23.93685212	21.06126814	25.93773215	24.41857097	22.8371146	20.4122452	18.96655254	23.68127378	25.02691064	22.8884574	23.36785342
Zm00001d040829	M6	20.46659339	17.0155375	19.11026844	20.63703956	21.95708171	31.51736321	32.41093968	26.62240456	28.60323079	21.82782841	27.48367477
