Gene	mGM	3C	4BS+V 	5BS+V	6BS+V	PM	3PM	4PM	5/6PM	1M	2M
Zm00001d023807	10.78885273	17.33206717	17.69057164	16.87351434	17.65390108	9.803334714	9.307033066	12.67065691	12.48300706	11.25136881	10.38262292
Zm00001d023808	30.66083729	33.22775516	31.65777453	32.57857103	31.71693749	31.19952384	28.85977076	30.10941637	25.14122738	27.03254715	29.60623777
Zm00001d023810	100.6783503	34.11226324	27.23479584	27.55541564	30.16967524	94.25940365	55.16224194	66.81326158	41.70312641	44.01616313	53.36995766
Zm00001d023813	4.392238937	2.967980409	2.145906164	2.697275774	3.163765864	5.511109381	9.083329719	6.5414497	6.046100907	5.990579794	7.98839419
Zm00001d023815	0.319217831	0.066756338	0.239502421	0.045858564	0.154625655	0.151013534	0.702063132	0.199344288	0.274455107	0.426949595	0.647470697
Zm00001d023817	4.602983189	4.255706348	2.968397913	3.446392992	3.701572078	3.089355611	3.031923389	4.27089863	2.329297278	3.365362224	7.202907734
Zm00001d023820	3.02435464	4.066916359	4.484127705	3.97891935	4.206394767	2.961779547	3.888127273	2.96525729	3.88749902	3.301026149	3.107150435
Zm00001d023824	69.16053762	60.13235481	62.65676514	60.93761184	54.09742153	91.77653247	78.62228005	90.93998609	80.03313154	71.11059502	72.11132702
Zm00001d023825	1.926920575	3.938921146	3.149876016	3.31186231	4.288498081	3.206436611	4.211334937	3.326804555	3.384462792	3.928910143	4.136324983
Zm00001d023830	27.46165919	18.79279183	15.84957615	21.0002194	17.08774055	30.41481559	44.89018068	38.95289096	25.62624979	30.86122816	45.38587684
Zm00001d023833	30.22499696	33.36938249	57.62996077	54.05795637	49.96300478	31.95125444	35.4790356	64.19847635	62.47825685	66.28089937	77.16646317
Zm00001d023836	2.251285467	3.792674733	3.938469836	3.688274344	3.653624766	1.817951163	2.126999304	1.923183439	2.092984941	2.686352151	1.752923114
Zm00001d023838	8.433408364	9.183156317	7.283479865	7.554801622	8.144702313	6.387861882	8.21143366	5.396734326	5.934326336	6.424709196	6.086327327
Zm00001d023839	6.673425114	3.262437625	3.098132102	2.921506338	3.09593658	5.613060973	3.825985918	3.763113352	2.161523591	3.267981707	2.997649104
Zm00001d023841	2.91623587	4.521174279	4.343453789	3.667715584	3.870375992	2.382635007	2.637106837	3.17159495	2.395063432	2.368646388	2.073764362
Zm00001d023846	6.88737255	7.115813476	4.974909827	5.236199669	4.409275444	5.881548864	3.029938464	3.712576716	3.019991139	3.848822845	4.22525764
Zm00001d023853	7.816906944	8.256220598	5.911926423	6.212983229	6.442786951	6.19244596	7.360144313	4.556375767	6.997367561	4.837366366	5.457117221
Zm00001d023854	0.188905503	0.331483504	1.349242808	1.818952604	1.444559789	0	0.39323728	0.254451413	0.756337105	0.755584656	0.165168843
Zm00001d023856	21.90401835	12.5988015	13.85069456	13.19488793	17.78405353	30.19788956	28.9489958	39.36016057	19.19112258	24.62282264	31.05648844
Zm00001d023858	0	0	0	0	0	0.703857311	5.740821806	0	0	0.212517689	0
Zm00001d023859	0	0.227618082	0.131234411	0.180402713	0.35794973	0.150327196	0.813160329	0.595839096	0.411202217	0.963178582	3.147772537
Zm00001d023863	8.52797531	11.78564808	15.07628478	14.2248872	12.76717441	10.99142029	7.664846992	10.49631244	9.373368547	11.00171002	9.847308077
Zm00001d023865	27.21030913	22.21826129	19.60038507	22.02805724	20.12386124	23.08032443	16.71893313	18.10060864	18.50206471	21.79903448	16.36152809
Zm00001d023867	2.838981315	6.200730915	6.141835544	5.568060063	6.340214196	2.803294173	4.739398271	4.050995687	5.018459256	3.887692538	4.252199617
Zm00001d023868	1.226664142	2.060498576	1.854381898	1.84967601	2.332602269	1.392795692	2.568499579	2.598826251	2.812102934	1.608061246	1.993399187
Zm00001d023874	34.73012402	49.46398716	50.49755908	49.68750817	52.61237167	33.49970066	39.63043923	30.13061578	34.39838664	40.07820156	36.89946483
Zm00001d023877	29.23595604	23.56486625	21.20280803	21.10595706	18.55130323	21.33834338	17.53181141	14.43331329	16.20536162	17.01271441	18.85205691
Zm00001d023880	5.817349658	12.9804438	15.48091793	14.3492731	14.25751648	5.189144111	6.656136053	9.879152421	10.72536437	9.555250924	9.303062222
Zm00001d023881	3.281513668	4.59975871	5.770396733	5.719452601	4.78040872	2.560436172	2.694258186	2.826826946	4.196983292	3.75702876	3.344723069
Zm00001d023882	0.707890722	2.563599025	1.431314657	2.66146438	3.425279233	2.445773235	1.595049902	1.478733499	1.227713877	2.179719062	1.984538966
Zm00001d023885	7.766740963	9.927183926	10.59396433	11.68785997	9.80416473	7.02544583	6.403220617	8.151341693	9.141827501	7.402732677	6.90721694
Zm00001d023887	22.21259193	25.95276447	40.29748953	40.78129105	36.41906283	29.92796173	28.33845925	65.60769422	59.13578816	70.91142987	62.99787754
Zm00001d023888	6.076405639	5.769501474	5.364463059	5.937685395	4.933018993	8.226654872	4.558810664	9.990325227	3.965584376	6.447913689	10.00392266
Zm00001d023892	44.9218019	47.7365488	52.0212044	43.70123387	45.14613213	46.80705821	37.42132572	44.92756706	43.39492021	45.91770957	45.03626912
Zm00001d023895	11.58925493	6.381507854	5.673439482	6.0398324	4.580310408	12.79373462	9.682136025	11.88770745	7.782598737	9.24962725	9.30045164
Zm00001d023896	14.96313011	20.00244709	23.08191248	21.28842687	20.10294987	13.89409523	10.64185765	12.71153698	17.41648769	15.98614532	14.19682412
Zm00001d023897	2.794854812	4.881852097	4.571490164	4.577426623	4.06998456	2.676918168	2.574710656	3.371866403	3.840088051	3.112585186	2.512546531
Zm00001d023900	1.021281354	2.553921811	1.163035297	1.943114897	2.512211902	1.200699122	1.115954798	2.175395348	0.741489073	2.389035913	1.56114261
Zm00001d023901	646.5200711	430.2840354	382.1824559	366.7348212	318.8342238	635.5184488	469.8231663	605.0540099	404.4191093	461.6964603	516.5669938
Zm00001d023904	24.73677955	37.64597305	34.31321344	38.70660929	35.24818493	30.38381328	32.34027679	24.16314105	26.07597828	24.98236945	22.78963878
Zm00001d023908	30.43307736	32.05623683	32.74307425	32.85720176	33.38439693	29.09599967	32.5619289	29.46407876	27.71791396	24.08451326	23.45828801
Zm00001d023910	3.882828979	3.842778036	5.022905297	4.605689278	5.322691821	2.54679371	2.456487469	3.674372257	4.24241006	3.989558922	3.780549385
Zm00001d023912	3.048618056	6.181459974	9.591957618	8.164592395	7.552588621	3.473153812	1.698317408	4.840087411	5.203911282	5.62726197	5.178962286
Zm00001d023914	6.656870899	7.196115951	6.570133212	6.227387019	7.341965799	5.290449832	5.634843408	4.734292244	5.157284007	5.892404214	5.419867852
Zm00001d023915	17.04702309	14.95151026	13.6396623	14.34375306	12.8214373	12.20271934	9.415333096	9.722329729	12.04387155	13.31565312	10.90182548
Zm00001d023916	1.381025941	0	0.674893029	0.599787485	0.367678928	1.224709238	0	0	0	0	0
Zm00001d023918	1.512594748	0.539591358	0.282666582	0.516184379	1.69682014	1.704088269	2.302463315	1.702253412	1.053230656	1.354268016	1.162795378
Zm00001d023919	7.107528369	7.543442522	9.301322384	9.136368913	7.615470915	5.671678855	6.405603266	7.681953446	7.987766301	7.393799877	7.488905404
Zm00001d023922	10.17236391	15.16377679	16.85759714	12.85529118	14.16742742	10.68967773	9.998667351	10.96096977	13.35527459	11.11174026	9.061328512
Zm00001d023927	1.572500875	2.224255509	1.592013353	1.266844994	1.81727282	1.541853477	0.630350578	0.604133415	0.679658156	0.617044315	0.706489297
Zm00001d023929	26.70616183	23.88487328	30.44937496	28.91086187	29.01057464	29.61021428	21.49550548	42.63894921	39.78198254	42.49255897	41.4953644
Zm00001d023933	0.911794497	0.327318874	0.474695768	0.735002409	0.503461379	0.677072855	3.65387165	2.270682831	0.989484653	0.70228052	2.360641794
Zm00001d023934	16.59280166	27.15876622	27.07195832	28.05956399	24.71476664	15.80275246	20.4803326	19.96008962	20.99127695	17.12073969	17.83790619
Zm00001d023936	1.81680525	0.831428026	0.646955884	0.327871671	0.586137565	4.10696018	2.583655344	0	0.630961847	0.853344053	1.103960753
Zm00001d023939	3.819734076	8.878965537	5.195757814	3.778756799	4.633133291	4.562583292	19.39340663	11.61479688	10.19341962	11.87098277	11.72159263
Zm00001d023941	0.476276466	0.033300777	0.147255928	0.162854108	0.307722669	1.023682744	0.97724898	1.197715907	0.502534495	0.585980995	0.474747599
Zm00001d023943	26.72205879	45.32191813	49.01164754	48.84184949	44.91207826	25.38735332	32.70849507	41.86732487	46.46127848	35.75019599	37.70156334
Zm00001d023944	2.991820271	2.381331157	2.31425336	1.898273472	2.337097036	2.608224745	1.103847884	2.787764961	1.738482323	2.572151457	1.98492011
Zm00001d023946	2.510657437	2.597172698	3.064660621	2.576543575	2.686038197	1.326616109	2.911684914	1.560378417	2.067361387	2.212386705	1.633347807
Zm00001d023953	0.914145361	1.611914362	2.134396867	1.692918693	1.553975495	2.267367082	1.752369255	1.640089551	0.681620992	1.239969342	1.302389624
Zm00001d023957	0.715964865	1.377707752	1.097591644	1.015463853	1.174537403	0.466120891	0.51738964	0.82581195	0.644925779	0.520771855	0.365053195
Zm00001d023962	50.66633781	49.94964346	48.07172055	48.02025556	48.56509389	42.96680402	46.57306341	39.80291734	36.77586474	38.77096095	38.55400823
Zm00001d023968	5.58332505	10.74108041	7.148416361	7.369187735	8.101751776	6.134852486	9.511158301	4.963894796	5.712051631	6.441510431	6.370549262
Zm00001d023969	20.05614101	21.12982355	21.19963258	22.77712306	18.29838222	16.35099127	10.54166607	13.65385547	13.41241807	18.09665137	14.13213363
Zm00001d023974	1.792797731	3.002950085	3.298093485	2.890962182	3.10680626	1.516573942	1.789065536	1.923898839	2.084586572	2.18304945	1.71052886
Zm00001d023978	5.820194339	4.907717052	7.433757739	7.085358708	4.995731906	7.298591578	5.146429736	5.951722946	4.985687834	6.341348441	5.83491816
Zm00001d023979	4.772998299	6.327848652	5.948131745	4.286847647	4.617603963	4.873659582	4.683609253	3.430292766	4.930205828	3.193332282	3.744774172
Zm00001d023984	2.791511014	44.02932913	15.06191385	22.39393642	29.55436253	4.311932565	208.9611195	31.70760773	81.63811116	73.59765346	80.71956838
Zm00001d023987	157.913883	212.65049	207.436692	213.3413024	214.2138397	163.1507379	200.637874	157.5743169	146.5304864	145.7415729	145.0622207
Zm00001d023990	13.79398298	10.3371384	16.45615579	18.82666925	17.78386849	21.21235825	18.96215063	40.76725768	35.15799791	28.49044956	30.45844798
Zm00001d023994	24.42774971	278.0721646	85.32513529	106.0421137	131.1130085	36.11026018	431.624931	130.3875822	133.2893834	345.6090517	377.9036349
Zm00001d023995	6.981107659	2.624906789	4.332079922	3.868790333	3.422485224	9.151351333	7.895835889	4.692570704	2.308841797	4.901161276	4.949589368
Zm00001d023998	7.823508367	8.228317513	7.361910338	7.724341028	6.849098009	7.164214958	6.495848303	5.670309477	4.61804522	6.15669583	4.546645347
Zm00001d024000	1.686991944	1.478726941	0.389094363	0.114505493	0.79070079	7.121126859	1.839816618	1.142167883	0.138713687	3.448084068	1.688299776
Zm00001d024001	0.646161293	0.519311273	0.72177255	0.618735835	0.387486162	1.717083453	0.531102311	1.264608539	1.086268127	0.789409675	1.217389744
Zm00001d024004	10.82536881	8.568968913	6.075960595	7.615608643	7.368451304	11.40996483	12.57508059	12.20183331	11.03415722	14.63815626	15.35707542
Zm00001d024005	3.66825489	4.110483785	3.546153291	2.876284137	3.158281947	3.45394261	2.520986827	2.494661126	2.064852784	1.830349612	2.891024868
Zm00001d024009	6.871798603	9.95793591	13.05338681	15.47994981	14.22395457	5.648380795	8.361704611	13.55561345	9.805458849	11.80403597	11.99641488
Zm00001d024014	0.156352135	0.551362202	0.504115786	0.687668914	0.507460694	0.38717247	0.629665458	1.073341694	1.404580305	0.683883054	0.52344715
Zm00001d024018	3.498097118	3.803411667	3.891445578	3.68337872	3.988494192	4.375445888	3.58511298	4.154610669	3.796133845	3.972103754	3.410956157
Zm00001d024027	24.77230478	18.31965149	7.863180548	8.579459031	16.35023599	30.58319768	39.51422507	5.898282743	22.60709368	13.81764082	6.235961315
