elements	sets
Zm00001d013039	4BS-4PM
Zm00001d038851	4BS-4PM
Zm00001d031344	4BS-4PM
Zm00001d016411	4BS-4PM
Zm00001d021515	4BS-4PM
Zm00001d017391	4BS-4PM
Zm00001d017602	4BS-4PM
Zm00001d012337	4BS-4PM
Zm00001d033065	4BS-4PM
Zm00001d007766	4BS-4PM
Zm00001d033822	4BS-4PM
Zm00001d047081	4BS-4PM
Zm00001d029923	4BS-4PM
Zm00001d001820	5BS-5PM
Zm00001d021784	5BS-5PM
Zm00001d018797	5BS-5PM
Zm00001d003767	5BS-5PM
Zm00001d040613	5BS-5PM
Zm00001d039040	5BS-5PM
Zm00001d051110	5BS-5PM
Zm00001d003429	5BS-5PM
Zm00001d017147	5BS-5PM
Zm00001d007267	5BS-5PM
Zm00001d018298	5BS-5PM
Zm00001d046786	5BS-5PM
Zm00001d011080	5BS-5PM
Zm00001d009589	5BS-5PM
Zm00001d012420	5BS-5PM
Zm00001d048176	5BS-5PM
Zm00001d027539	5BS-5PM
Zm00001d023343	5BS-5PM
Zm00001d019704	5BS-5PM
Zm00001d038984	5BS-5PM
Zm00001d003085	5BS-5PM
Zm00001d041819	5BS-5PM
Zm00001d015385	5BS-5PM
Zm00001d016952	5BS-5PM
Zm00001d027929	5BS-5PM
Zm00001d035683	5BS-5PM
Zm00001d044685	5BS-5PM
Zm00001d031893	5BS-5PM
Zm00001d033447	5BS-5PM
Zm00001d039264	5BS-5PM
Zm00001d004817	5BS-5PM
Zm00001d043299	5BS-5PM
Zm00001d023737	5BS-5PM
Zm00001d003379	5BS-5PM
Zm00001d051746	5BS-5PM
Zm00001d010715	5BS-5PM
Zm00001d038170	5BS-5PM
Zm00001d027652	5BS-5PM
Zm00001d048998	5BS-5PM
Zm00001d049950	5BS-5PM
Zm00001d013945	5BS-5PM
Zm00001d051362	5BS-5PM
Zm00001d018034	5BS-5PM
Zm00001d044686	5BS-5PM
Zm00001d042096	5BS-5PM
Zm00001d033976	5BS-5PM
Zm00001d008706	5BS-5PM
Zm00001d037323	5BS-5PM
Zm00001d022415	5BS-5PM
Zm00001d016256	5BS-5PM
Zm00001d028180	5BS-5PM
Zm00001d037894	5BS-5PM
Zm00001d040942	5BS-5PM
Zm00001d002192	5BS-5PM
Zm00001d043458	5BS-5PM
Zm00001d020732	5BS-5PM
Zm00001d031168	5BS-5PM
Zm00001d024522	5BS-5PM
Zm00001d044973	5BS-5PM
Zm00001d004689	5BS-5PM
Zm00001d026599	5BS-5PM
Zm00001d020877	5BS-5PM
Zm00001d005446	5BS-5PM
Zm00001d021763	5BS-5PM
Zm00001d039566	5BS-5PM
Zm00001d052224	5BS-5PM
Zm00001d001476	5BS-5PM
Zm00001d052194	5BS-5PM
Zm00001d002690	5BS-5PM
Zm00001d021435	5BS-5PM
Zm00001d038003	5BS-5PM
Zm00001d009146	5BS-5PM
Zm00001d042809	5BS-5PM
Zm00001d041416	5BS-5PM
Zm00001d025944	5BS-5PM
Zm00001d017274	5BS-5PM
Zm00001d028572	5BS-5PM
Zm00001d037018	5BS-5PM
Zm00001d049387	5BS-5PM
Zm00001d019163	5BS-5PM
Zm00001d028601	5BS-5PM
Zm00001d014947	5BS-5PM
Zm00001d012791	5BS-5PM
Zm00001d007857	5BS-5PM
Zm00001d038806	5BS-5PM
